Iteration,Ch1_MaxQFactor,Ch1_MinBER,Ch2_MaxQFactor,Ch2_MinBER,Ch3_MaxQFactor,Ch3_MinBER,Ch4_MaxQFactor,Ch4_MinBER,Ch5_MaxQFactor,Ch5_MinBER,Ch6_MaxQFactor,Ch6_MinBER,Ch7_MaxQFactor,Ch7_MinBER,Ch8_MaxQFactor,Ch8_MinBER
1,165.712,0,157.561,0,148.834,0,146.109,0,151.753,0,139.387,0,136.102,0,136.494,0
2,130.704,0,127.606,0,119.643,0,118.78,0,111.996,0,109.612,0,103.019,0,103.632,0
3,101.677,0,100.323,0,96.2407,0,94.3042,0,89.6646,0,89.4412,0,85.9512,0,80.2875,0
4,86.2928,0,81.9865,0,82.5687,0,76.5602,0,72.2668,0,70.2135,0,71.1728,0,67.5768,0
5,73.9093,0,67.9736,0,67.1838,0,63.8688,0,62.4721,0,59.8039,0,57.1141,0,56.5322,0
6,60.6759,0,58.1169,0,55.7679,0,51.4657,0,51.9259,0,50.4039,0,47.9902,0,47.671,0
7,49.7233,0,49.7851,0,47.1728,0,45.699,0,43.3856,0,42.4218,0,42.8407,0,41.3865,0
8,42.1677,0,41.1432,0,38.9763,0,39.6967,0,37.1912,4.34913e-303,36.0556,5.19881e-285,34.9954,1.21662e-268,36.193,3.55673e-287
9,35.7058,1.55186e-279,35.3492,4.93108e-274,33.7975,1.03356e-250,33.8437,2.14778e-251,31.703,6.71286e-221,31.4687,1.09799e-217,30.1779,2.19407e-200,30.8418,3.33579e-209
10,29.8924,1.20481e-196,29.152,3.87322e-187,29.1055,1.48298e-186,27.8436,6.20887e-171,26.9231,5.69091e-160,27.2911,2.57884e-164,26.2449,3.87534e-152,25.6778,9.56337e-146
11,25.1973,2.10551e-140,25.2388,7.38377e-141,24.2465,3.51266e-130,23.6633,4.14764e-124,22.8867,3.0605e-116,22.7946,2.51758e-115,22.7997,2.22587e-115,21.7763,1.84141e-105
12,20.7763,3.51092e-96,20.7861,2.84188e-96,20.1729,8.23884e-91,19.5559,1.81381e-85,18.8767,8.59438e-80,19.2085,1.5356e-82,18.3204,2.77398e-75,18.9953,8.97024e-81
13,17.264,4.35175e-67,16.9332,1.26633e-64,16.6426,1.6966e-62,16.7319,3.75928e-63,16.8861,2.79526e-64,16.057,2.50613e-58,16.1815,3.35011e-59,15.5806,4.87153e-55
14,14.0072,6.96615e-45,14.0327,4.89606e-45,14.1734,6.62633e-46,13.456,1.41065e-41,13.7621,2.12587e-43,13.7004,4.97969e-43,13.4534,1.45065e-41,13.5041,7.24954e-42
15,11.5611,3.23149e-31,11.4354,1.38216e-30,11.757,3.24331e-32,11.3869,2.40827e-30,11.1277,4.54939e-29,11.0152,1.596e-28,11.2294,1.4428e-29,11.0375,1.25226e-28
16,9.42663,2.10751e-21,9.05554,6.74823e-20,9.30053,6.94014e-21,9.22046,1.47441e-20,9.23672,1.26611e-20,9.14841,2.86233e-20,8.96658,1.52015e-19,8.78572,7.6839e-19
17,7.66182,9.12064e-15,7.5141,2.86328e-14,7.57489,1.79141e-14,7.43241,5.29304e-14,7.47689,3.7894e-14,7.38674,7.49063e-14,7.40118,6.70827e-14,7.40656,6.43574e-14
18,6.22993,2.32732e-10,6.21419,2.56466e-10,6.08926,5.63924e-10,6.35869,1.01057e-10,6.13645,4.21137e-10,6.20418,2.73839e-10,6.00918,9.21187e-10,6.25643,1.96455e-10
19,5.0946,1.74328e-07,4.9182,4.33443e-07,4.97129,3.30838e-07,4.96741,3.38575e-07,5.0527,2.17053e-07,5.09717,1.71829e-07,4.98086,3.15202e-07,4.97833,3.17393e-07
20,4.14674,1.6846e-05,4.00281,3.12109e-05,4.09122,2.1333e-05,4.16127,1.57557e-05,4.06451,2.39983e-05,4.14632,1.68298e-05,4.07497,2.29167e-05,4.09034,2.14414e-05
